Company,Project Name,Sales Stage,Complete Date,Volume [kg],Chance of Success (%),Notes,ASI CONTACT NATURE ROLE AS,ASI CONTACT RELATIONSHIP,ASI Customer Group,ASI FUNCTIONALITY,ASI OPPORTUNITY STATUS,ASI OPPORTUNITY TYPE,ASI PAC Desc,ASI RESULT REASON,ASI SBU,ASI STAGE QUALIFICATION,ASI UOM
Whitehall Technical Services Ltd,Biocides,Deferred,31/12/2011,100,5,"Requested samples of Fungitrol 940, Nuosept BMc 422 & Fungitrol L30BDG",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Spectrum Colour Technologies,Natrasol 250 HR,Closed Won,1/01/1900,100,100,Replaced Tylose 30000 YP2,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
NuAge Plaster NZ,NuAge - Render Reformulation,Closed Lost,31/12/2016,20000,0,"Discussed Silipon RN 6068, Aquapas N2098, Aquapas M2128, Culminal C8381. No samples provided yet. Stefan Hucko was to discuss with Roman Mayer (German based consultant) but has been retrenched. RB to advise new contact.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Paints New Zealand,Defoamer Project,Sampled,31/12/2016,5000,10,"Supplied presentation. Testing across variety of formulation types - all water-based (pure acrylics, styrene acrylics, vinyl acrylics, urethanes).
Sharon advised...  I’m still going on the project. I am about to have another look at TS 4380. It performs well but the fact that it needs shaking before use means it will have to be really good. I’m about to try it in some more systems.
Advice on 19.05.15. The TS 4380 was good but there are a couple of other defoamers that are preferred. I hadn't contacted you yet because there was another product I wanted to try it in. But for most of the ranges it is not the top performer.
Checked in July 15 and still not finalised but not looking promising.
Checked Nov 15 and still alive but Sharon has been diverted to other projects.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Gemco Ltd,Aquaflow XLS 525,Sampled,1/03/2014,200,10,Sample sent for Self Levelling floor coating,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Imake,Polyclar Brewbrite,Deferred,24/12/2014,100,0,o,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Paints New Zealand,Poly Vinyl Pyrollidone,Sampled,31/12/2016,200,10,"Colin requested brochure and samples of K15, K30 and K60.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Paints New Zealand,Render - Culminal,Closed Lost,31/12/2014,1000,0,"Formulating a high build heavily loaded (~50% sand) formulation for application on brick walls to fill the gaps between bricks  so essentially a render, but they want to apply it by roller. 
Yvon advised ""I didn’t end up using Culminal in the first high-build roll-applied product, but as the whole project is still in development, I will keep Culminal in mind when I get time to go back to that project and work on the next product in the family""",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Dulux New Zealand Ltd,Dulux NSAT,Closed Lost,31/03/2014,10000,15,"Evaluating Aquaflow XLS-530 (alternative to RM 895). Looking promising, although issue with QC testing due to time required to fully associate. Jared & Heather evaluating for NZ.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
RLA Polymers,Natrosol 250HHR - replace Beramcoll 481FQ,Initiated,3/03/2016,500,10,#NAME?,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Bostik New Zealand Limited,Heat Resistant SBR,Deferred,31/12/2014,4000,0,"Sampled SBR 4503 & SBR 1009 AF on 23/03/11. Formulation is losing adhesion. Tough requirements of exterior, cycling heat of 70-80C for 10 hours.
Supplied sprayable PSA formulation and comparison with SBR 1009 OC2. Definitely still of interest  - Jan 2013",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Labtec,Elastomers,Closed Lost,31/12/2014,10000,0,"Labtec's client has intentions to sell the technology, so the eventual customer is not known. End-use volumes may be significant (global product for automotive industry, amongst others).
Sampled SBR 1011AE and SBR 1012 on 06.09.11
The SBR’s turned out not to be the same type present in the reference product that we were reverse–engineering",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Paints New Zealand,Resene - pHlex,Closed Lost,31/12/2015,5000,0,"Supplied copy of presentation and the SDS on 30.09.13. 
Requested sample of pHlex 410 on 30.09.13.
Not interested if we cannot offer a low VOC variant.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Nuplex Industries Ltd,Combizell HK4MR - Textile,Sampled,21/05/2014,200,10,Oana doing trial late May,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Regis Coatings,Natrasol 250 HHR - Regis,Evaluated and Approved,1/10/2014,100,30,Offered pricing - to replace Bermicol. Has used HHR previously.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
VALSPAR NZ Ltd,Aquaflow NHS 350,Sampled,22/07/2015,300,20,Being trialed in an Australian interior low sheen formulation.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Construction Systems,Shotcrete Rheology,Closed Lost,31/05/2015,500,0,"Want to improve rheology system for Shotcrete sprayed concrete. Water + powder is mixed with ~10 secs of shear and then sprayed through 50mm nozzle. Claim to be able to get 200mm build, but probably only get 50mm build per pass. They can get slumping with current conventional HEC. Suggested Performax HH variant.
Completed with alternative.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
CRC Industries NZ,THF,Closed Lost,2/02/2013,0,20,Looking to formulate new adhesive. Quote once commercial,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Nuplex Industries Ltd,Drewplus L493 - Roadmarking,Initiated,1/01/2016,100,10,Sample requested by Oana for Roadmarking application. Doesn't have any information on potential volume,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
CAL LTD,Polyclar 730 plus,First Order,19/11/2015,150,90,,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Decora Group Ltd,SunCare & WetCare - Jacobsens,Closed Lost,31/12/2012,200,10,"Very interested & supplied samples on 7th Feb 2011.
Wetcare looks good & interested in Suncare for both products for stains and also wood preservation product. Requested performance data - not supplied. Not cost effective",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
VALSPAR NZ Ltd,Strodex PK-95G,Sampled,20/07/2015,50,100,"Being used in a speckled coating - formulation from Australia
Sample Supplied to Georgina Biggs
20/7/15 - Product launch going ahead. 18kg required - Tania will try to get from Valspar Australia",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
PaintPlus Colour Systems Ltd,Phosphate Esters,Sampled,31/05/2015,50,10,"Recommended Strodex TH-100 (syneresis/stability), Dextrol OC 180 HS (colour) & Strodex PK 85 MV (gloss, wetting/dispersing)
RB to supply presentation & PDS",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
United Paints Ltd,Rheology - United,Sampled,31/12/2014,500,10,Sampled Aquaflow NMS 450 on 19.12.13.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
EnviroPaints Ltd,Aquaflow XLS 525,Closed Lost,31/10/2014,50,0,"Replacing Aquaflow NLS 200.
No progress - killed.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Decora Group Ltd,Performax 1325 Replacement of Bermocoll,Sampled,31/03/2015,500,10,"Recommended Performax 1325 (250 HBR variant) to replace Bermocoll grade to overcome bag labeling issue and provide benefits of rapid dissolution. Use 250 HBR type in a number and wide range of formulations, so rapid dissolution will be more of a benefit than with the Plus 330. NB advised pricing 18.11.14.
RB to supply photo of bag.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
PaintPlus Colour Systems Ltd,PP - Aquaflow,Sampled,31/12/2015,5000,10,"Interested in Aquaflow technology so took samples of the complete range. Has a new formulation based on a resin that is relatively unresponsive to traditional rheology modifiers. Kevin likes the aggressive nature of XLS-550, but will check performance of XLS-525 which Alchemy stock.
DD to push for TSR.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
PaintPlus Colour Systems Ltd,SunCare & WetCare - Paint Plus,Deferred,31/12/2012,200,10,"Very interested & requested samples.
Supplied samples on 10th Feb 2011.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Koppers Performance Chemicals New Zealand,NMP - Osmose,Closed Lost,30/06/2013,6000,10,"Goes into a product exported to Korea, so needs supplier to hold ex-stock. Will take 2 or 4MT lot. Currently not competitive from ashland. Competitive price from Lyondell is more than NZD 1 /kg cheaper. Preference for supply in IBC's.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Construction Systems,Avebe Addilose 65 Replacement,Closed Lost,31/08/2015,500,0,"Not sure if Addilose 65 is a modified or unmodified starch ether, but believe modified. Avebe products have typically had to be used at higher dosage around 0.05% - 0.1%. Amylotex 8100 is typically around 0.005% - 0.1% depending upon the application. 
Recommended either Amylotex 8100 or ST3000. Preference is Amylotex ST3000 as it is a newer product and will generally find it is more efficient...but this is application dependent. 
Amylotex 8100 has a medium retardation of cement set. ST3000 has No Retardation of Cement Set.
Oct 15 - No longer interested to change",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Five Star Paints / Aggrippa,Jaypol AS40,Closed Won,1/07/2011,5000,100,Five Star have finally given approval for Jaypol AS40 and provided 2mt covering order for first commercial quantity - Alchemy to place order for 2 x 1000kg IBC's,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Chemvin Plastics Ltd,Flexidone Plasticisers,Closed Lost,31/12/2013,20000,10,"Use close to 400MT of phthalate plasticisers. Supplied samples of Flexidone 100, 300 and 500 on 24th May 2011. Still awaiting evaluation but will look at soon - 26.10.11
****Awaiting advice on resistivity in electrical cabling applications from ISP.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Dowco Associates,Fabric Softener Thickener,Closed Lost,1/07/2013,100,25,"Sampled Jaypol 213 on 04.08.11. Resend data on 05.04.12.
Dowco lost fabric softener copntract but have regained so will push for further evaluation.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
PaintPlus Colour Systems Ltd,PP - Performax,Sampled,31/12/2015,2000,10,"Interested - supplied samples
NB to follow up.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Agrippa Paints Ltd / Five Star,Natrasol 250HR - Performax 1325 - Five Star,Initiated,1/01/2015,2000,0,,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Apco Coatings (NZ) Ltd,Natrasol Plus and Aquaflow,Closed Won,23/05/2014,200,100,"Using Bermacol 451 and Rheolate 350/266 and Elementis CVX11 plus some ASE60. Will trial Plus330 and hopefully the NH350 and XLS 530.
Ordered 3 bags Plus 7/4/14 - will approve in different formulations as the opportunity arise. Only approved in a roof coating at this stage - staying with the bermicol 451 in most formulations
Have done a consolidation of rheology packages and dispersants across the main formulations based on current raw materials. Settled now and wont look at replacements until new formulations.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Construction Systems,Self Leveling Compound,Closed Lost,31/05/2015,500,0,"Developing a self leveling formulation due to immediate requirement, but will look to incorporate in range.
Requested low MW HEC (300-1000cps) - suggested Nat 250 LR (may be too slow) & Combizell LPF.
Also suggested Aquapas M2128 (RDP + HEC to stop bleed)..
Nov 15 - Has not proceeded.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Mirotone (NZ) Ltd,SunCare & WetCare,Deferred,31/12/2012,200,10,"Submitted samples of SunCare UV, UV Concentrate, 800, TopCoat & WetCare on 24th Jan 2011. Awaiting replacement sample of SunCare Conc.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Bostik New Zealand Limited,Viscalex AT88 Replacement,Closed Lost,31/12/2013,2000,5,"ASI recommended Jaypol ALA and now approved however grade has been rationalised. Recommended Jaypol AL (sodium salt). Current issue with variability of Viscalex AT88 - believe due to phasing in drum.
Current price does not justify work ****",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Specialized Construction Products Ltd,Hostapur OSB Replacement - Sp,Sampled,31/12/2016,800,10,"Requested 1kg sample of Silipon RN7002 on 16.10.13 but not supplied - regulatory issue. However better product recommendation is the low dusting Silipon RN 6068.
Have not evaluated the sample and frankly difficult for them to do so, in other than production environment, but have a desire to shift from dusty Hostapur OSB.
Requested pricing – we have not given any indication. Volume is 800kg pa.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Mirotone (NZ) Ltd,Paint Stripper Rheology,Deferred,31/12/2014,100,0,"D-Limonene + Steposol SC paint stripper needs to be thickened.
NB supplied Klucel brochure + Klucel PR data sheet + sample on 30.09.13.
Introduced Steposol MET-10U and sent link to website.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Sika (NZ) Ltd,Natrosol Supply - Sika,Commercially Approved,30/06/2016,500,60,Change over in distribution from Nuplex Specialties. Have shifted from Natrosol 250 GR & 250 HHR due to price & supply issues from Nuplex Specialties. New formulation includes Natrosol 250 MR and so requested sample.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Bostik New Zealand Limited,CTA Reformulation (MC & RDP Replacement),Sampled,31/12/2016,52000,20,"12MTpa MC, 40MTpa economy RDP, 12MTpa Calcium Formate in NZ, but now Bostik are asking to consider supply to Australia & Malaysia also.
Bostik NZ have ~15 CTA formulations, but there are 2-3 that are key formulations. 
Paavan supplied 5kg samples less RDP & MC for 3 product formulations. He also supplied samples of Tylose MH 6005 P6 and Dairen DA-1450 and advise dose rate. There is no modified starch ether added.
ASI Mumbai lab completed TSR with conclusion as follows:
On observing all the formulation, we can conclude that both the competition MC and RDP and with C 8381 and N 2028 behave same in the wet mortar properties. But the final strengths are a little improved in all the cases. Hence, with the same replacements and keeping other conditions constant, C8381 and N2028 perform better in all the formulations. Most of the requirements of the customer is fulfilled, to move from competition to our portfolio.
However evaluation by Bostik showed with C 8381, the water demand on the C1 adhesive is appx 10-12 % more than the Tylose mix. In the C2S1 adhesive, it is even higher.
Comments by ASI European experts confirmed that C 8381 is in no way a suitable replacement.
NB introduced RB to JP from Bostik to meet and discuss a regional approach.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Whitehall Technical Services Ltd,Surfadone Wetting Agents,Closed Lost,15/12/2010,200,10,"Sampled Surfadone LP-100 & LP-300
Tested & worked, but it is three times the cost of current surfactant so cannot be employed.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Koppers Performance Chemicals New Zealand,WoodCare,Closed Lost,30/06/2013,2000,10,"Interested for application in high end decking formulation. Supplied samples of WetCare & SunCare Conc on 22.07.11.
No benefit seen",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
